Id,board,breadth_first_search
1,.......;.a-c-C.;...|.|.;.+-^-B.;.|.|.|.;.b.A-+.;.......;,ldurulrrddl
3,.......;.c-b-+.;.|.|.|.;.C-^-a.;...|.|.;.+-B.A.;.......;,uldrdurd
5,.......;.+-C-B.;.|.|.|.;.a-^.b.;.|.|...;.c-A-+.;.......;,ldruurdu
7,.......;.b-C-B.;.|.|...;.a-^-+.;.|.|.|.;.A.+-c.;.......;,drlulduurr
9,...........;.+.+-A-+-+.;.|.|.|.|.|.;.+-+.^-a.+.;.|.|.|.|...;.b-+-B-+-+.;...........;,dllrrrulu
11,...........;.+-+-+-+-B.;...|.|.....;.+-A-^-+-+.;.|.|.|.|.|.;.+-+.a-+-b.;...........;,drrllulrurr
13,...........;.+-+-+-b.+.;.|.|.|...|.;.A-+.^-+-+.;.|.|.|.|.|.;.B-a-+.+-+.;...........;,urlddllu
15,...........;.+-A-+-B-+.;.|.|.|.|...;.+.+-^-+-+.;.|.|.|.|.|.;.a-+.+-+.b.;...........;,ldlrurrrdulull
17,.........;.D.b.c-a.;.|.|.|.|.;.+-d-^-C.;.|.|.|.|.;.+.B-+-A.;.........;,ludrurddllulu
19,.........;.+-+.a-+.;.|...|.|.;.B-d-^-A.;.|.|.|.|.;.b-C.D-c.;.........;,lruddrulldlu
21,.........;.+-c-+.+.;.|.|.|.|.;.b.A-^-C.;.|.|.|.|.;.d.D-a-B.;.........;,dluuldduurddrru
23,.........;.a-C.d-+.;...|...|.;.A-B-^-D.;.|.|.|.|.;.+-c-+-b.;.........;,rulrddlluulrdl
25,.............;.+-+-+-+-+-+.;...|.|...|.|.;.+-+-A-+-+.+.;.|.|.|.|.|.|.;.+-+-c-^-+.C.;.....|.|.|...;.+-b-B-+-+-a.;.............;,drrllllruurrurdd
27,.............;.B-a.+-+.+-+.;.|...|.|.|...;.+-+-+-c-C-+.;.|.|...|.|.|.;.+-+-+-^-+-b.;...|.|.|...|.;.+-A-+-+-+-+.;.............;,rrllurllllurlddrd
29,.............;.+.+-+-+-+.A.;.|.|.|.|.|.|.;.b-B-+-+.+-+.;.|.|...|.|.|.;.+-C-+-^-+-c.;...|.|.|.|.|.;.+-a.+-+-+.+.;.............;,rrlllldulurdrrrruu
31,.............;.+-a-c.+-+-+.;.|.|...|.|.|.;.+-b-+-+-+-A.;...|.|.|.|.|.;.C-+-+-^-+.B.;.|.|.|.....|.;.+-+-+-+.+-+.;.............;,lluurlddlrrrrurd
33,...........;.c-D-f-d-g.;.|.|.|.|.|.;.a.C-^-A-F.;.|.|...|.|.;.E.G-b-B.e.;...........;,rrduulllldduurddrrur
35,...........;.g-D.C-d-f.;.|...|.|...;.b-e-^-G-a.;.|.|.|.|.|.;.E-A.F-B-c.;...........;,drrulurlldldluurldrrdru
37,...........;.e-g-f.G-C.;...|.|.|...;.d-E-^-F-a.;.|...|.|.|.;.D-B-c-A-b.;...........;,drrullullrdldrrruur
39,...........;.g-a.G-c-f.;.|.|...|.|.;.E-C-^.e-A.;.|.|.|...|.;.D-d-F-B-b.;...........;,llurddrrrululrrddllllur
41,.............;.d-+-E.B-+-D.;.|.......|.|.;.+.+.+-+-+-+.;.|.|.|.|.|.|.;.F-c-a-^-b-C.;.|...|.|.|.|.;.A-+-f-+-e-+.;.............;,drlludlluuurrllddrrrrruull
43,.............;.+-+-+.+-B-c.;...|...|.|.|.;.a-+-d-+-C-E.;...|...|.|.|.;.D-+-+-^-f.e.;.|...|.|.|.|.;.b-+-F-+-A-+.;.............;,rlulllrdldrrrrruuuld
45,.............;.F-A.+-a-+-E.;.|.|.|.|.|.|.;.+.+-b.+-+.e.;.|.|.|.|.|.|.;.B-C-+.^-c-+.;.|.|.|.|...|.;.+-f-d-D-+.+.;.............;,rruullldddrlluluur
47,.............;.+-B.d-C-a.+.;.|.|.|.|...|.;.F-+-E-e-+-D.;.....|.|.|.|.;.b-+-+.^-+-A.;.|.|.|.|.|.|.;.f.+-c-+-+-+.;.............;,dlluldurrullrudrrlurrldrrd
49,.............;.A-g.+-D-e-C.;.|.|.|.|.|.|.;.h-E-H-^.F-d.;...|.|.|.....;.c-b-f-B-G-a.;.............;,lllruddlrrrrrlluurdrulldlllu
51,.............;.a-+-c-C-D-F.;.|.|.|.|.|.|.;.E-h-G-^-A-b.;...|.......|.;.B-g-d-e-H.f.;.............;,lldrrrlllulurrdrrrduulldlldl
53,.............;.f-h.c-A-F-G.;.|.|.|.|...|.;.a-b-D-^-e-+.;.|.|.|.|...|.;.H.g-B-d.C-E.;.............;,dlluulddurdruurrrdlrdl
55,.............;.E-a.F.c-+-A.;.|.|.|.|.|.|.;.D-b-g-^-H-f.;.|.|...|...|.;.h.d-B-G-e-C.;.............;,udlllduruddrrrruudllludllu
